product_name,categories_tags,countries_en,ingredients_text,additives_tags
Yogurt Griego Birthday Cake,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts,en:greek-style-yogurts",Mexico,"Leche, agua, azúcares añadidos, harina de tapioca, saborizantes naturales, goma guar, pectina de fruta, 4,7% harina de trigo, azúcares añadidos, aceites vegetales, sal, saborizantes naturales, 3,5% azúcares añadidos, aceite de palma, leche, leche, lecitina de soya, sal, agua, spirulina, saborizantes naturales. 1.5% azúcares añadidos, aceite de palma, leche desnatada, leche, lecitina de soya, sal, harina de arroz, saborizantes naturales, espirulina y beta caroteno.","en:e322,en:e322i,en:e412,en:e440"
"Almond-milk, vanilla","en:plant-based-foods-and-beverages,en:beverages,en:dairy-substitutes,en:milk-substitutes,en:plant-based-beverages,en:plant-based-milk-alternatives",United States,"Almondmilk (filtered water, almonds), sugar, calcium carbonate, natural vanilla flavor with other natural flavors, se salt, potassium citrate, carrageenan, sunflower lecithin vitamin a palmitate, vitamin d2 and d-alpha-tocopherol (natural vitamin e).",en:e407
Greek Nonfat Yogurt,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts,en:greek-style-yogurts",United States,"Cultured pasteurized skim milk, sugar, pomegranate juice concentrate, natural flavor, pectin, locust bean gum, sodium citrate, fruit and vegetable juice concentrates for color, citric acid, calcium chloride. contains five live active cultures including s.","en:e330,en:e331,en:e410,en:e440"
"Almond-milk, unsweetened original","en:plant-based-foods-and-beverages,en:beverages,en:dairy-substitutes,en:milk-substitutes,en:plant-based-beverages,en:plant-based-milk-alternatives",United States,"Almondmilk (filtered water, almonds), calcium carbonate, sea salt, potassium citrate, carrageenan, sunflower lecithin, vitamin a palmitate, vitamin d2 and d-alpha-tocopherol (natural vitamin e).","en:e322,en:e322i,en:e407"
"Coffee Creamer, French Vanilla","en:plant-based-foods-and-beverages,en:dairy-substitutes,en:creamer",United States,"Water, Sugar, High Oleic Canola Oil, Contains Less Than 2% Of: Sodium Caseinate* (A Milk Derivative), Mono - And Diglycerides, Corn Syrup Solids, Dipotassium Phosphate, Sodium Stearoyl Lactylate, Carrageenan, Natural And Artificial Flavor, Polysorbate 60.","en:e340,en:e340ii,en:e407,en:e435,en:e471,en:e481"
"Original unsweetened almondmilk, original","en:plant-based-foods-and-beverages,en:beverages,en:dairy-substitutes,en:milk-substitutes,en:plant-based-beverages,en:plant-based-milk-alternatives",United States,"Almondmilk (filtered water, almonds), calcium carbonate, natural flavor, sea salt, gellan gum, dipotassium phosphate, sunflower lecithin, xanthan gum, vitamin a palmitate, vitamin d2, d-alpha-tocopherol (vitamin e).","en:e322,en:e322i,en:e340,en:e340ii,en:e415,en:e418"
"Vanilla almondmilk unsweetened, vanilla, unsweetened","en:plant-based-foods-and-beverages,en:beverages,en:dairy-substitutes,en:milk-substitutes,en:plant-based-beverages,en:plant-based-milk-alternatives",United States,"Almondmilk (filtered water, almonds), calcium carbonate, natural flavors, sea salt, gellan gum, dipotassium phosphate, sunflower lecithin, xanthan gum, vitamin a palmitate, vitamin d2, d-alpha-tocopherol (vitamin e).","en:e322,en:e322i,en:e340,en:e340ii,en:e415,en:e418"
"Vanilla greek nonfat yogurt, vanilla","en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",United States,"Cultured pasteurized skim milk, sugar, natural flavors, pectin, locust bean gum, citric acid and calcium chloride.","en:e330,en:e410,en:e440"
"Soy creamer, vanilla","en:plant-based-foods-and-beverages,en:dairy-substitutes,en:milk-substitutes,en:creamer",United States,"Soymilk (filtered water, whole soybeans), cane sugar, palm oil, maltodextrin, soy lecithin, natural flavors, dipotassium phosphate, tapioca starch, carrageenan.","en:e322,en:e322i,en:e340,en:e340ii,en:e407"
"Nonfat yogurt, blueberry","en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",United States,"Cultured pasteurized grade a nonfat milk, water, modified food starch, fructose, blueberries, natural flavor, carrageenan, pectin, citric acid, fruit and vegetable juice (color), calcium phosphate, potassium sorbate (to maintain freshness), sucralose, acesulfame potassium, vitamin a palmitate, vitamin d3.","en:e202,en:e330,en:e407,en:e440,en:e950,en:e955"
"Nonfat yogurt, vanilla","en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",United States,"Cultured pasteurized grade a nonfat milk, water, modified food starch, fructose, natural flavor, sucralose, carrageenan, pectin, acesulfame potassium, citric acid, calcium phosphate, potassium sorbate (to maintain freshness), annatto extract color, turmeric color, vitamin a palmitate, vitamin d3.","en:e100,en:e202,en:e330,en:e407,en:e440,en:e950,en:e955"
"Nonfat yogurt, peach","en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",United States,"Cultured pasteurized grade a nonfat milk, water, modified food starch, fructose, peaches, natural flavor, carrageenan, pectin, sucralose, citric acid, calcium phosphate, potassium sorbate (to maintain freshness), acesulfame potassium, annatto extract color, turmeric color, vitamin a palmitate, vitamin d3.","en:e100,en:e202,en:e330,en:e407,en:e440,en:e950,en:e955"
"Nonfat yogurt, strawberry","en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",United States,"Cultured pasteurized grade a nonfat milk, water, strawberries, modified food starch, fructose, natural flavor, carrageenan, pectin, sucralose, calcium phosphate, malic acid, potassium sorbate (to maintain freshness), vegetable juice and beta carotene (color), vitamin a palmitate, vitamin d3.","en:e160a,en:e160ai,en:e202,en:e296,en:e407,en:e440,en:e955"
"Nonfat yogurt, blackberry","en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",United States,"Cultured pasteurized grade a nonfat milk, water, blackberries, modified food starch, fructose, natural flavor, carrageenan, pectin, calcium phosphate, potassium sorbate (to maintain freshness), sucralose, citric acid, vitamin a palmitate, vitamin d3.","en:e202,en:e330,en:e407,en:e440,en:e955"
"Nonfat yogurt, banana cream pie","en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",United States,"Cultured pasteurized grade a nonfat milk, water, modified food starch, fructose, natural flavor, carrageenan, pectin, calcium phosphate, sucralose, citric acid, potassium sorbate (to maintain freshness), acesulfame potassium, annatto extract color, turmeric color, vitamin a palmitate, vitamin d3.","en:e100,en:e202,en:e330,en:e407,en:e440,en:e950,en:e955"
"Lowfat yogurt, blueberry","en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",United States,"Cultured pasteurized grade a low fat milk, sugar, water, blueberries, modified food starch, calcium phosphate, natural flavor, fruit and vegetable juice (color), carrageenan, pectin, citric acid, potassium sorbate (to maintain freshness), vitamin a palmitate, vitamin d3.","en:e202,en:e330,en:e407,en:e440"
"Lowfat yogurt, strawberry, banana","en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",United States,"Cultured pasteurized grade a low fat milk, sugar, modified food starch, strawberries, water, bananas, natural flavor, calcium phosphate, carrageenan, pectin, vegetable juice and beta carotene (color), citric acid, potassium sorbate (to maintain freshness), vitamin a palmitate, vitamin d3.","en:e202,en:e330,en:e407,en:e440"
"Lowfat yogurt, peach","en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",United States,"Cultured pasteurized grade a low fat milk, sugar, water, peaches, modified food starch, calcium phosphate, natural flavor, pectin, carrageenan, citric acid, potassium sorbate (to maintain freshness), color (annatto extract, fruit and vegetable juice), vitamin a palmitate, vitamin d3.","en:e202,en:e330,en:e407,en:e440"
"Lowfat yogurt, mixed berry","en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",United States,"Cultured pasteurized grade a low fat milk, sugar, water, modified food starch, blueberries, calcium phosphate, blackberries, raspberries, strawberries, natural flavor, carrageenan, pectin, citric acid, fruit juice color, potassium sorbate (to maintain freshness), vitamin a palmitate, vitamin d3.","en:e202,en:e330,en:e407,en:e440"
"Lowfat yogurt, vanilla","en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",United States,"Cultured pasteurized grade a low fat milk, sugar, water, modified food starch, calcium phosphate, natural flavor, carrageenan, pectin, citric acid, potassium sorbate (to maintain freshness), vanilla extract, annatto extract and turmeric (color), vitamin a palmitate, vitamin d3.","en:e202,en:e330,en:e407,en:e440"
"Nonfat yogurt, plain","en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",United States,"Cultured pasteurized grade a nonfat milk, modified food starch, whey protein concentrate, carrageenan, pectin, calcium chloride, potassium sorbate (to maintain freshness), vitamin a palmitate, vitamin d3.","en:e202,en:e407,en:e440"
"Blended lowfat yogurt, vanilla","en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",United States,"Cultured pasteurized grade a low fat milk, sugar, water, modified food starch, calcium phosphate, natural flavor, carrageenan, pectin, citric acid, potassium sorbate (to maintain freshness), vanilla extract, annatto extract and turmeric (color), vitamin a palmitate, vitamin d3.","en:e202,en:e330,en:e407,en:e440"
"Lowfat yogurt, plain","en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",United States,"Cultured pasteurized grade a low fat milk, whey protein concentrate, pectin, calcium chloride.",en:e440
"Nonfat yogurt with aspartame, vanilla","en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",United States,"Cultured pasteurized grade a nonfat milk, fructose, modified food starch, whey protein concentrate, vanilla extract, carrageenan, pectin, aspartame*, calcium chloride, potassium sorbate (to maintain freshness), vitamin a palmitate, vitamin d3.","en:e202,en:e407,en:e440,en:e951"
"Lowfat yogurt, black cherry","en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",United States,"Cultured pasteurized grade a low fat milk, sugar, water, modified food starch, cherries, calcium phosphate, natural flavor, citric acid, carrageenan, pectin, vegetable juice color, caramel color, potassium sorbate (to maintain freshness), vitamin a palmitate, vitamin d3.","en:e150c,en:e202,en:e330,en:e407,en:e440"
"Unsweetened vanilla almondmilk, unsweetened vanilla","en:plant-based-foods-and-beverages,en:beverages,en:dairy-substitutes,en:milk-substitutes,en:plant-based-beverages,en:plant-based-milk-alternatives",United States,"Almondmilk (filtered water, almonds), tricalcium phosphate, natural vanilla flavor with other natural flavors, sea salt, gellan gum, dipotassium phosphate, xanthan gum, sunflower lecithin, vitamin a palmitate, vitamin d2, d-alpha tocopherol (vitamin e).","en:e322,en:e322i,en:e340,en:e340ii,en:e415,en:e418"
"Creamer, vanilla caramel","en:plant-based-foods-and-beverages,en:dairy-substitutes,en:milk-substitutes,en:creamer",United States,"Water, sugar, vegetable oil (high oleic soybean and/or high oleic canola), contains less than 2% of: sodium caseinate*, (a milk derivative), mono - and diglycerides, corn syrup solids, dipotassium phosphate, sodium stearoyl lactylate, carrageenan, natural and artificial flavor, polysorbate 60.","en:e340,en:e340ii,en:e407,en:e435,en:e471,en:e481"
"Greek nonfat yogurt, coconut","en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",United States,"Cultured pasteurized skim milk, sugar, pectin, natural flavors, locust bean gum, coconut oil, calcium phosphate. contains five live active cultures including s. thermophilus, l. bulgaricus, l. acidophilus, bifidus, and l. casei.","en:e410,en:e440"
"Greek nonfat yogurt, key lime","en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts,en:greek-style-yogurts",United States,"Cultured pasteurized skim milk, sugar, lime juice concentrate, natural flavor, pectin, sodium citrate, locust bean gum, vegetable juice (for color), calcium phosphate, and turmeric (for color) contains five live active cultures including s. thermophilus, l. bulgaricus, l. acidophilus, bifidus, and l. casei.","en:e331,en:e410,en:e440"
"Blended nonfat greek yogurt, strawberry","en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",United States,"Cultured pasteurized skim milk, sugar, strawberries, natural flavor, pectin, locust bean gum, sodium citrate, lactic acid, fruit and vegetable juice concentrate for color, and calcium chloride. contains five live active cultures including s. thermophilus, l. bulgaricus, l. acidophilus, bifidus, and l. casei.","en:e270,en:e331,en:e410,en:e440"
"Blended greek nonfat yogurt, pumpkin","en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",United States,"Cultured pasteurized skim milk, sugar, pumpkin puree, natural flavors, pectin, spice, locust bean gum, annatto (color), fruit and vegetable juice (color), salt and calcium lactate. contains five live active cultures including s. thermophilus, l. bulgaricus, l. acidophilus, bifidus, and l. casei.","en:e160b,en:e327,en:e410,en:e440"
"Lowfat yogurt, orange cream","en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",United States,"Cultured pasteurized grade a low fat milk, sugar, water, modified food starch, calcium phosphate, natural flavor, orange juice concentrate, orange pulp, vegetable juice and annatto extract (color), carrageenan, pectin, citric acid, potassium sorbate (to maintain freshness), orange oil, vitamin a palmitate, vitamin d3.","en:e202,en:e330,en:e407,en:e440"
"Aussiestyle yogurt, blueberry","en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",United States,"Cultured pasteurized grade a milk, blueberries, cane sugar, cream, water, milk protein isolate, blueberry puree, organic honey, pectin, carob bean gum, kosher gelatin, natural flavor, sodium citrate, agar, calcium chloride.","en:e331,en:e406,en:e410,en:e428,en:e440"
"Aussie style yogurt, strawberry","en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",United States,"Cultured pasteurized grade a milk, cane sugar, strawberries, water, cream, milk protein isolate, strawberry puree, organic honey, pectin, lemon juice concentrate, carob bean gum, kosher gelatin, natural flavor, fruit and vegetable juice (color), agar, calcium chloride.","en:e406,en:e410,en:e428,en:e440"
"Aussie style yogurt, raspberry","en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",United States,"Cultured pasteurized grade a milk, cane sugar, raspberries, water, cream, milk protein isolate, organic honey, pectin, kosher gelatin, calcium chloride, carob bean gum, fruit and vegetable juice (color), lemon juice concentrate, natural flavor, agar.","en:e406,en:e410,en:e428,en:e440"
Coconut milk,"en:plant-based-foods-and-beverages,en:beverages,en:dairy-substitutes,en:milk-substitutes,en:plant-based-beverages,en:plant-based-milk-alternatives",United States,"Coconut extract, water, guar gum.",en:e412
"Aussie style strawberry rhubarb yogurt, aussie style strawberry rhubarb","en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",United States,"Cultured pasteurized milk, rhubarb, cream, sugar, organic sugar, water, milk protein isolate, strawberries, organic honey, natural flavor, lemon juice concentrate, carob bean gum, pectin, gelatin, agar, fruit and vegetable juice (for color).","en:e406,en:e410,en:e428,en:e440"
Fromage blanc à la pêche,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,fr:fromages-blancs",France,"FROMAGE BLANC 3,1% Matière grasse 62,5%, compote de pêches 37,5% (pêche, sucre, sirop de glucose-fructose, acide citrique, antioxydant : acide ascorbique).","en:e300,en:e330"
Mousse au chocolat,"en:dairies,en:desserts,en:dairy-desserts,en:entremets-mousses-and-creamy-puddings,en:chocolate-desserts,en:sweet-mousses,en:dairy-mousses,en:chocolate-mousses",France,"LAIT demi écrémé 67,6%, préparation pour mousse au chocolat 32,4% (chocolat en poudre 62,5% [sucre, cacao], sucre, cacao maigre 7%, graisse de noix de coco totalement hydrogénée, LACTOSE, gélatine de boeuf, émulsifiants : E472a, E471, protéine de LAIT, stabilisant : alginate de sodium).","en:e471,en:e472a"
West country luxury yogurt Rhubarb Custard,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:fermented-dairy-desserts-with-fruits,en:yogurts,en:fruit-yogurts,en:cow-milk-yogurts,en:rhubarb-yogurts","France,United Kingdom",Yogurt (Milk) · Timperley Rhubarb (18%) · Sugar · Cornflour · Flavourings Colour: Carotenes · Ground Madagascan Vanilla Pod.,en:e160a
chocolush,"en:beverages,en:dairies,en:dairy-drinks,en:flavoured-milks,en:chocolate-milks",United Kingdom,"Semi-Skimmed Milk (93%), Sugar, Milk Chocolate (1.5%) (Sugar, Cocoa Mass, Whole Milk Powder, Cocoa Butter, Skimmed Milk Powder), Dark Chocolate (Sugar, Cocoa Mass, Fat Reduced Cocoa Powder, Natural Vanilla Flavouring), Stabilisers (Cellulose, Modified Starch, Guar Gum, Sodium Citrates, Cellulose Gum, Carrageenan), Fat Reduced Cocoa Powder, Natural Flavourings, Salt. For allergens see ingredients in bold. Keep refrigerated at 1-5°C.","en:e14xx,en:e331,en:e407,en:e412,en:e460,en:e466"
"Blueberry Flavored Original Nonfat Yogurt, Blueberry","en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",United States,"Cultured Non Fat Milk, Water, Modified Food Starch, Cane Sugar, Blueberries, Less Than 1%: Natural And Artificial Flavors, Kosher Gelatin, Fruit And Vegetable Juice (For Color), Sucralose, Acesulfame Potassium, Sodium Citrate, Malic Acid, Vitamin A Palmitate, Vitamin D3, Active Yogurt Cultures L. Bulgaricus & S. Thermophilus.","en:e296,en:e331,en:e428,en:e950,en:e955"
"Greek nonfat yogurt, peach","en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",United States,"Cultured grade a non fat milk, water, peaches, fructose, contains less than 1% of modified food starch, natural and artificial flavor, malic acid, sucralose, potassium sorbate (to maintain freshness), acesulfame potassium, annatto extract (for color), sodium citrate.","en:e202,en:e296,en:e331,en:e950,en:e955"
Toffee Sundae,"en:dairies,en:desserts,en:dairy-desserts,en:entremets-mousses-and-creamy-puddings,en:creamy-puddings,en:caramel-creamy-puddings","France,United Kingdom","Whipping Cream (Milk), Skimmed Milk, Water, Sugar, Cream (Milk), Double Cream (Milk), Chicory Fibre, Partially Inverted Sugar Syrup, Cocoa Butter, Dried Whole Milk, Wheatflour (contains Gluten), Cornflour, Dried Glucose Syrup, Pasteurised Egg, Unsalted Butter (Milk), Glucose Syrup, Dried Milk Fat, Sweetened Condensed Skimmed Milk (Skimmed Milk, Sugar, Lactose (Milk)), Milk Protein, Dextrose, Stabiliser (Pectin, E417), Emulsifier (E472a, E475, Lecithins (Soya), E471), Salt, Gelling Agent: Carrageenan, Natural Colour: Plain Caramel, Palm Oil, Dried Skimmed Milk, Shea Oil, Rice Starch, Natural Flavourings, Potato Starch, Raising Agent (E450, Sodium Bicarbonate), Thickener: Xanthan Gum, Wheat Starch (contains Gluten).","en:e150a,en:e322,en:e407,en:e415,en:e417,en:e440,en:e450,en:e471,en:e472a,en:e475,en:e500,en:e500ii"
Yogurt parfait,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts,en:low-fat-yogurts",United States,"Vanilla yogurt (cultured pasteurized grade a low fat milk, sugar, modified corn starch, kosher gelatin. natural flavor, potassium sorbate added to maintain freshness, vitamin a acetate, vitamin d3), strawberries, oat and honey granola (whole rolled oats, milled cane sugar, rice flour, oat flour, vegetable oil [canola and/or safflower and/or sunflower oil], molasses, honey, natural flavor, salt, barley malt syrup.",en:e428
Almond milk chocolate,"en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:dairy-substitutes,en:milk-substitutes,en:nuts-and-their-products,en:plant-based-beverages,en:plant-based-milk-alternatives,en:nut-based-drinks,en:unsweetened-beverages,en:almond-based-drinks,en:chocolate-almond-based-drinks",United States,"Almondmilk (filtered water, _almonds_) evaporated cane juice, cocoa (Dutch process) calcium carbonate, sea salt, potassium citrate, carrageenan, natural flavors, sunflower lecithin, vitamin A palmitate, vitamin D2 and :-alpha-tocopherol (natural vitamin E)","en:e307,en:e322,en:e322i,en:e407"
,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:desserts,en:dairy-desserts,en:cow-cheeses,en:fermented-dairy-desserts,en:fromages-blancs-petit-suisses-and-skyr,en:cheeses-from-the-united-kingdom,en:cheeses-from-england,fr:fromages-blancs,en:cheddar-cheese,en:extra-mature-cheddar,en:plain-creamy-fresh-cream-cheese-around-8-fat",Canada,"Milk, Ultrafiltered skim milk, Cream, Salt, Bactenal culture, Calcium chloride, Rennet and/or Microbial enzyme. Contains: Milk Ingrédients: Lait, Lait écrémé ultrafiltré, Crème, Sel, Culture bactérienne, Chlorure de calcium, Présure et/ou Enzyme microbienne. Contient : Lait. 0 68200 96054 8",en:e175
