product_name,categories_tags,countries_en,ingredients_text,additives_tags
Food Grade Corn,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits-and-crackers,en:biscuits,en:chocolate-biscuits,en:drop-cookies,en:chocolate-chip-cookies,en:chocolate-and-hazelnut-cookies","France,Germany,World","Farine de _blé_, sucre, _beurre_ concentré (soit 18% en beurre reconstitué), _oeufs_ frais, pâte de cacao, éclats de _noisette_ 4,2 %, poudre de _noisette_ 2,4%, carbonates d'ammonium, carbonates de sodium, diphosphates (_blé_), malt d'_orge_, _lait_ écrémé en poudre, sel, cacao maigre en poudre, émulsifiant lécithines (_soja_, tournesol), arômes, beurre de cacao","en:e322,en:e450,en:e502"
Sablés Coco Lait,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,en:chocolate-biscuits,en:shortbread-cookies",France,"Farine de blé 27.5%, chocolat au lait 22% (sucre, beurre de cacao, lait entier en poudre, pâte de cacao, émulsifiant : lécithines (soja), arôme naturel de vanille), sucre, noix de coco râpée 10%, œufs de poules élevées en plein air 9%, beurre concentré, huile de colza, poudres à lever carbonates de sodium - citrates de sodium (blé), lait écrémé en poudre, malt d'orge, sel, émulsifiant : lécithines (soja), arôme naturel de coco. Peut contenir des traces de graines de sésame et de fruits а сoque.","en:e322,en:e322i,en:e331,en:e500"
,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits-and-crackers,en:biscuits,fr:sables-viennois,fr:sables-viennois",France,"Farine de blé 39%, chocolat noir 22% (pâte de cacao, sucre, beurre de cacao, matière grasse laitière anhydre, émulsifiant : lécithines (soja), arôme naturel de vanille), sucre, beurre concentré, huile de colza, lait écrémé en poudre, sel, poudres à lever: carbonates de sodium - citrates de sodium (blé), arôme naturel. : Peut contenir des traces d'œufs, de graines de sésame et de fruits à coque. S","en:e322,en:e322i,en:e331,en:e500"
Brins de framboise,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,en:flaky-biscuits",France,"Farine de blé, sirop de glucose-fructose, sucre, fructose, purée de framboise 6.8%, stabilisant : glycérol, purée de framboise concentrée 2.5%, jus de cerise, lait écrémé en poudre, graisse de coprah, arômes, correcteurs d'acidité : acide citrique - citrates de sodium, beurre, caramel aromatique, émulsifiant : lécithines (soja), gélifiant : pectines, sel.","en:e322,en:e322i,en:e330,en:e331,en:e422,en:e440"
Brins de ChocoCaramel,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,en:chocolate-biscuits,en:milk-chocolate-biscuits,fr:biscuits-au-caramel",France,"Chocolat au lait 40% (sucre, beurre de cacao, lait entier en poudre, pâte de cacao, émulsifiant : lécithines (soja), arôme naturel de vanille), sirop de glucose-fructose, farine de blé 23%, sucre, stabilisant : glycérol, fructose, lait concentré sucré (lait entier, sucre), caramel aromatique 0.9%, lait écrémé en poudre, beurre concentré, beurre, sel, arôme, gélifiant : pectines, émulsifiant : lécithines (soja). Farine issue de blé français, filière responsable. Peut contenir des traces d'eufs, de graines de sésame et de fruits à coque.","en:e322,en:e322i,en:e422,en:e440"
"Mcvitie's, digestives cheesecake, lemon","en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits",United States,"Fortified wheat flour (with calcium, iron, niacin, thiamin), vegetable oil (palm), sugar, wholemeal wheat flour, dried cream cheese (2.5%) (milk), dried skimmed milk, oatmeal, low fat yogurt powder (milk), dried whey (milk), dextrose, raising agents (sodium bicarbonate, ammonium bicarbonate), salt, wheat starch, natural lemon flavouring, colour (beta carotene).","en:e160a,en:e160ai,en:e500,en:e500ii,en:e503,en:e503ii"
"Mcvitie's, mini gingerbread men, milk chocolate","en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits",United States,"Flour (wheat flour, calcium, iron, niacin, thiamin), milk chocolate (27%) [sugar, cocoa butter, dried skimmed milk, cocoa mass, dried whey (milk), butter oil (milk), emulsifier (soya lecithin), natural flavouring], sugar, vegetable oil (palm), partially inverted sugar syrup, molasses, raising agents (sodium bicarbonate, disodium diphosphate), ground ginger, salt, natural ginger flavouring.","en:e322,en:e322i,en:e450,en:e450i,en:e500,en:e500ii"
petit dej Chococroustill,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes",France,"céréales 52,7%(farine de blé 41,4%, flocons d'avoine 4,5%, farine d'orge 2,2%, farine de seigle 2%,farine d'epautre 1,3%,son de blé)sucre, matière grasse composé (huile de colza, beurre concentré), pépites de chocolat noir 10%,(sucre, pâte et beurre de cacao,cacao maigre en poudre, émulsifiant : lécithine (tournesol), arôme,œuf frais, beurre pâtissier billes de céréales biscuité 5%(farine de blé, sucre, malt de blé, amidon de blé, poudre à lever: carbonates de sodium, sel, beurre de cacao, arôme naturel de vanille),lait écrémé en poudre,farine de sarrasin 1,3%, poudre à lever : carbonates d'ammonium, carbonates de sodium,diphosphate(blé),malt d'orge, arôme,,sel, émulsifiant : lécithine de soja.","en:e322,en:e322i,en:e450,en:e500,en:e503"
,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits",France,"Chocolat au _lait_ 25% (sucre, beurre de cacao, _lait_ entier en poudre, pâte de cacao, émulsifiant : lécithines (_soja_), arôme naturel de vanille), _œufs_ 19.5%, sucre, noix de coco râpée 13%, _beurre_ concentré, poudre _d'amande_, farine de _blé_ 7%, sirop de glucose-fructose, stabilisant : glycérol, sel, arôme naturel de coco, poudres à lever : carbonates de sodium - citrate de sodium (_blé_). Peut contenir des traces de _fruits à coque_.","en:e322,en:e331,en:e422,en:e500"
Bijou tradition pâtissiere,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:pastries,en:madeleines",France,"Oeufs frais, sucre, chocolat au lait  14% (sucre, beurre de cacao, poudre de lait entier, pâte de cacao, émulsifiant : lécithines (soja), arôme), poudre d'amande, farine de blé, beurre patissier, huile de colza, sirop de glucose + fructose, stabilisant : glycérol, sel, arôme.","en:e322,en:e322i,en:e422"
Madeleines Bijou,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:chocolate-cakes,en:madeleines,en:chocolate-madeleines,fr:madeleines-chocolat-noisette",France,"Farine de_blé_, chocolat au_lait_18% (sucre, beurre de cacao, poudre de_lait_entier, pâte de cacao, émulsifiant : lécithines (_soja_), arômes), huile de colza, _œufs_ frais 14%, sucre, poudre de _noisette_6%, sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d'ammonium - carbonates de sodium - diphosphates (_blé_), arôme, émulsifiants : mono et diglycérides d'acides gras, sel,_lait_écrémé en poudre.","en:e322,en:e422,en:e450,en:e471,en:e500,en:e503"
madeleines ecrin,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:chocolate-cakes,en:madeleines,en:chocolate-madeleines",France,"sucre, farine de blé, pâte de cacao, huile de colza, oeufs frais 12%, sirop de glucose-fructose, stabilisant glycérol, beurre de cacao, matière grasse laitière anhydre, poudres à lever: carbonates d'ammonium - carbonates de sodium - diphosphates (blé), émulsifiants: mono et diglycérides d'acides gras - lécithines (soja, tournesol), sel, arômes, lait écrémé en poudre, épaississant gomme xanthane. Peut contenir des traces de fruits à coque. Concervar hri do la chalo d.. :","en:e322,en:e322i,en:e415,en:e422,en:e450,en:e471,en:e500,en:e503"
crackers - cheese (arôme fromage),"en:snacks,en:salty-snacks,en:appetizers,fr:biscuits-gout-fromage",France,"Farine de blé, buile vegetale (palme, tournesol), sel sirop inverti, sucre, lactosérum (lalt) en poudre, émulsifiant: lecithines (soja), poudres lever (carbonates de sodium, carbonates ant d'ammonium), régulateurs d'acidite m (diphosphates, acide citrique), levure: de am boulanger, agent de traitement de la farine: bak metabisulfite de sodium, assaisonnement au Seas fromage 6% (farine de blé, sel lodé, gluc actoserum (lalt) en poudre, dextrose, sirop de glucose, exhausteurs de godt (E621, E627 pow E631), sucre, fromage en poudre (lalt) 3%, regu aromes, extrait de levure, huile de colza, age régulateur d'acidité (acide lactique), colorants glut (extrait de paprika, curcumine Dea antiagglomérant E551).","en:e100,en:e160c,en:e270,en:e322,en:e322i,en:e330,en:e450,en:e502,en:e621,en:e627"
Tiramisu cappuccino,"en:dairies,en:snacks,en:desserts,en:sweet-snacks,en:dairy-desserts,en:biscuits-and-cakes,en:pastries,en:tiramisu,en:coffee-tiramisu",France,"Lait écrémé reconstitué, sirop de glucose, huile de coco, sucre, protéines de lait, farine de blé, œufs, mascarpone 2,2% (crème, correcteur d'acidité : acide lactique), alcool, jaune d'œufs, épaississants: carraghénanes (extrait d'algues) - farine de graines de caroube - alginate de sodium - gomme xanthane, café soluble 0,8%, amidon (tapioca et blé), vin Marsala 0,6%, cacao en poudre 0,5%, dextrose, émulsifiant : E472b, cacao maigre en poudre, arômes, beurre de cacao, extrait de café, poudre à lever (E450, E500, farine de blé). Peut contenir des traces de soja de fruits à coque. Teneur en alcool : 1,5%. œufs de poules élevées au sol.","en:e270,en:e401,en:e407,en:e415,en:e450,en:e472b,en:e500"
Eggo Waffles gluten free,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:pastries,en:waffles",United Kingdom,"Water,Whole _oat Flour_, Rice Flour, _eggs_, sugar, Vegetable Oil (_Soybean_and Palm ), Leaving (baking soda, Sodium Aluminum Phosphate, Contains 2% or Less of Natural Flavor, Xanthan Gum, Salt, _Soy Lecithin_, Whey","en:e322,en:e322i,en:e415,en:e500,en:e500ii,en:e541"
peguin crackers,"en:snacks,en:salty-snacks,en:appetizers,en:biscuits-and-crackers,en:crackers-appetizers",United States,"enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), cheddar cheese (pasteurized milk, salt, cheese cultures, enzymes, annatto extract [color]), high oleic canola oil, contains less than 2% of salt, cheddar cheese (cultured milk, salt, enzymes), sugar, spices, pyeast extract, leavening (yeast, calcium phosphate, baking soda), onion powder, autolyzed yeast extract, sodium sulfite,  annatto % extract (color), ing, wheat, milk","en:e221,en:e341,en:e500,en:e500ii"
Best Sweet-Potato Cookies,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits",United States,"Bart & judy's proprietary rice flour blend, butter, sweet potato, cranberries, brown cane sugar, whole egg, baking soda, salt.","en:e500,en:e500ii"
Milton's Galletas Saladas Multigrano 4 pzas de 238 g,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits-and-crackers,en:biscuits,en:crispy-biscuits",Mexico,"Harina de trigo enriquecida (trigo, harina, niacina, hierro, tiamina, riboflavina, ácido fólico), aceite vegetal parcialmente hidrogenado (girasol alto oleico), cereales (maíz, avena, trigo), azucares añadidos (azucar, jarabe de caña), condimentos (semillas de amapola, semillas de alcaravea, semillas de sesamo, cebolla deshidratada), cebolla en polvo, bicarbonato de amonio, ajo en polvo, sal, fosfato monocalcico, bicarbonato de sodio, enzimas.","en:e341,en:e341i,en:e503,en:e503ii"
Kinder tejszelet,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits-and-crackers,en:biscuits,hu:tejszelet",Hungary,"pasztőrözött  _tej_ (40%), pálmaolaj), cukor, _búzaliszt_ (10%), sovány _tejpor_ (99%), méz (5%), dehidratált _vaj_, _tojáspor_, zsírszegény kakaópor, _búzakorpa_, térfogatnövelő szerek (dinátrium-difoszfát, natrium-hidrogén-karbonát, ammónium-karbonát), emulgeálószer (zsírsavak mono-és digliceridjei), aromák, étkezési só","en:e450,en:e450i,en:e471,en:e503,en:e503i"
Oreillettes,"en:beverages,en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:sweet-fritters",France,"Farine de blé, sucre, huile de tournesol, eau, oeufs, levure, poudres à lever (diphosphate disodique, bicarbonate de sodium), sel, amidon de blé, arôme naturel, arôme naturel d'orange.","en:e450,en:e450i,en:e500,en:e500ii"
"Original Hummus With Flatbread, Original","en:snacks,en:sweet-snacks,en:biscuits-and-cakes",World,"Chick Peas, Filtered Water, Tahini (Sesame Seed Paste), Olive Oil, Lemon Juice, Garlic, Sea Salt, Citric Acid, Cayenne. Flatbread Ingredients: Unbleached Wheat Flour, Sesame Seeds, Organic Cane Sugar, High Oleic Sunflower Oil, Barley Grits, Durum Semolina, Sea Salt, Poppy Seeds, Filtered Water.",en:e330
Wafers,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits",United States,"Enriched wheat flour (wheat flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid), sugar, dextrose, palm oil with tbhq for freshness, contains 2% or less of: cornstarch, cocoa powder, salt, baking soda, artificial colors (red 40, yellow 6, yellow 5, and blue 1), soy lecithin.","en:e102,en:e110,en:e129,en:e133,en:e322,en:e322i,en:e500,en:e500ii"
Wafers,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits",United States,"Enriched wheat flour (wheat flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid), sugar, dextrose, palm oil with tbhq for freshness, contains 2% or less of: cornstarch, salt, baking soda, artificial colors (red 3), soy lecithin, artificial strawberry flavor, citric acid.","en:e127,en:e322,en:e322i,en:e330,en:e500,en:e500ii"
Brioche senza glutine,"en:snacks,en:sweet-snacks,en:specific-products,en:biscuits-and-cakes,en:products-for-specific-diets,en:sweet-pastries-and-pies,en:biscuits,en:products-without-gluten,en:viennoiseries,en:brioches,en:gluten-free-biscuits",Italy,"Amidi, amido di FRUMENTO deglutinato, zucchero, BURRO, UOVA, LATTE scremato in polvere, lievito di birra, fibra, addensanti farina di semi di guar, farina di semi di psillyum, emulsionanti E464, sale, aroma.","en:e412,en:e464"
Brownie mix,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:cooking-helpers,en:dessert-mixes,en:pastry-helpers,en:baking-mixes,en:cake-mixes",United States,"Sugar, unbleached pastry flour (wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid, enzyme), corn syrup solids, dextrose, dutched cocoa (cocoa [processed with alkali]), egg whites (egg white and less than 0.1 percent sodium lauryl sulfate added as a whipping agent), shortening (partially hydrogenated soybean and cottonseed oil), cocoa, non-iodized salt, powdered shortening (mono and diglycerides [from partially hydrogenated soybean oil] with mixed tocopherols, ascorbic acid and citric acid [antioxidants]), wheat starch, vanilla flavor (dextrose, corn starch, water, alcohol), egg yolks, baking powder (sodium acid pyrophosphate, sodium bicarbonate, corn starch, monocalcium phosphate), baking soda.","en:e306,en:e330,en:e341,en:e341i,en:e450,en:e450i,en:e471,en:e500,en:e500ii"
Pancake mix,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:cooking-helpers,en:dessert-mixes,en:pastry-helpers,en:baking-mixes,en:cake-mixes",United States,"Cake flour (wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid, enzyme), sugar, soybean flour, dextrose, buttermilk powder, baking soda, corn starch, leavening agent (sodium acid pyrophosphate), non-iodized salt, leavening agent (monocalcium phosphate monohydrate), dried eggs (pasteurized whole eggs, less than 2 percent sodium silicoaluminate as an anticaking agent), soybean oil.","en:e450,en:e450i,en:e500,en:e500ii"
Biscuit mix,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:cooking-helpers,en:dessert-mixes,en:pastry-helpers,en:baking-mixes,en:cake-mixes",United States,"Unbleached enriched flour (wheat flour, malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid), pastry unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), all purpose shortening (partially hydrogenated soybean oil), buttermilk powder, sugar, soy flour, silicon dioxide, salt, lecithin powder (liquid lecithin, defatted soy flour, dolomite).","en:e322,en:e322i"
Biscotti proteici,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,it:biscotti-proteici","Italy,Switzerland","Proteine isolate di soia (NO OGM); edulcoranti: eritritolo, maltitolo; collagene idrolizzato (gelatina alimentare); olio extravergine di oliva (10%); olio di semi di girasole; albume d'uovo; fibra di frumento (deglutinato); albume d'uovo in polvere; proteine del latte; burro; fibre vegetali; addensante: farina di semi di carrube; agenti lievitanti: difosfati, carbonati di sodio, ammonio bicarbonato, amido di mais; emulsionante: lecitina di soia; aromi; aroma: vanillina; sale; antiossidante: alfatocoferolo.","en:e450,en:e500,en:e965,en:e968"
Wafer  zero cacao e nocciola,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,en:dietary-supplements,en:wafers,en:bodybuilding-supplements,en:stuffed-wafers,en:protein-bars",Italy,"Proteine del _latte_, collagene idrolizzato, pasta di _nocciole_ (13%), olio di girasole alto oleico, frutto-oligosaccaridi, edulcoranti: eritritolo, glicosidi steviolici, burro di cacao, massa di cacao, farina di riso, fecola di patate, _latte_ intero in polvere, olio di cocco, cacao magro in polvere (2%), emulsionante: lecitina di girasole, amido di mais, vanillina, farina di quinoa, agenti lievitanti: bicarbonato di sodio, bicarbonato di ammonio","en:e500,en:e500ii,en:e503,en:e503ii,en:e960,en:e968"
,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:snacks,en:cereals-and-potatoes,en:seeds,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits-and-crackers,en:cereals-and-their-products,en:biscuits,en:cereal-grains,en:chocolate-biscuits,en:drop-cookies,en:chocolate-chip-cookies,en:oat",Italy,"Farina di grano tenero tipo &quot;2&quot; 32% proteine di frumento (grano) - olio di semi di girasole - zucchero - gocce di cioccolato 10% (pasta di cacao, zucchero, emulsionante: lecitina di soia, aroma naturale) - fiocchi di avena 10%-proteine di soia - sciroppo di glucosio - farina di riso - granella di mandorle tostate agenti lievitanti: carbonato acido di ammonio, carbonato acido di sodio, difosfato disodico-aromi - sale. Può contenere senape, segale, orzo, uova, latte e nocciole.","en:e500,en:e500ii,en:e503,en:e503ii"
Mochi pistache,"en:snacks,en:desserts,en:sweet-snacks,en:frozen-foods,en:biscuits-and-cakes,en:frozen-desserts,en:pastries,en:mochi",France,"lait écrémé réhydraté, sirop de glucose, farine de riz, lait entier, sucre, eau, huile de coco, tréhalose, crème (lait), pâte de pistache (1%), émulsifiants (mono et di - glycérides d'acides gras, esters de propylène glycol d'acides gras) stabilisants (gomme de caroube, carraghènane), arômes, colorants (complexe chlorophylle-cuivre, curcumine).","en:e100,en:e407,en:e410,en:e471,en:e477"
,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits-and-crackers,en:biscuits",France,"WHEAT flour, sugar, vegetable oil (palm, rapeseed, sunflower, cottonseed), corn starch, glucose syrup, salt, raising agents (E 503, E 450, E 500), emulsifier (SOY lecithin), flavourings, colourings (E 160a). May contain traces of eggs, peanuts, milk, hazelnuts, pistachios, sesame seeds, sulphites.","en:e160a,en:e322,en:e322i,en:e450,en:e500,en:e503"
Il biscotto dei bambini,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits",Italy,"farina di frumento, zucchero, oli vegetali (girasole, oliva), latte scremato in polvere, amido di frumento, estratto di malto da orzo, agenti lievitanti ( carbonato acido di ammonio, carbonato acido di sodio, ifosfato disodico), calcio carbonato, lecitina di girasole, aromi, ferro fumarato, niacina, riboflavina, tiamina, vitamina B6","en:e500,en:e500ii,en:e503,en:e503ii"
